temperature(¡æ),humidity(%),visibility(km),barometric pressure(hpa),Wind speed(m/s),aerosol absorption optical depth(mm),FVC,daily cases growth rate
0.415392847,-5.42E-08,0.744204805,2.76E-08,0.337226185,0.676369863,0.085691686,0
0.241688942,0.418655023,0.496597839,0.637425324,0.999999898,1,0.119001582,0.043421053
0,0.78958776,0.1250144,0.956602683,0.661313771,0,0.095447355,0.234996092
0.205879213,0.7575921,0.114173666,0.706975345,0.249634945,0.587328767,0.208033046,0.059112694
0.375628014,0.213665879,0.205281958,0.648946445,0.140145896,0.616438356,0.196255933,0.12409213
0.277926249,0.282537893,0.251528066,0.491846953,0.299269981,0.712328767,0.167779926,0.122851836
0.288295036,0.234273253,0.315880505,0.287843988,0.721167785,0.595890411,0,0.119204261
0.704436145,0.674078004,0.406181508,0.431765968,0.564963408,0.489726027,0.885920197,0.107710003
0.868091948,0.915401203,0.274708783,0.936781203,0.566423262,0.628424658,1,0.182802907
0.113629078,0.70119297,0.474685718,0.918974999,0.665693333,0.489726027,0.055897346,0.158529329
0.629609848,0.999999897,0.126052342,0.614889204,0.521167788,0.489726027,0.957989102,0.144743519
0.39935864,0.471258057,0.097566585,0.742090836,0.408759031,0.59760274,0.229565829,0.065552255
0.221592736,0.674078004,0.25325797,0.983003716,0.451094796,0.828767123,0.075408683,0.091054221
1.000000021,0.984273217,0.366278383,0.961258982,0.877372162,0.684931507,0.780277729,0.080233944
0.483377883,0.565618139,0.148195117,0.969982642,0.512408664,0.61130137,0.035155563,0.136884531
0.778086601,0.820498821,0.451966308,0.967516459,0.354744433,0.489726027,0.848743189,0.085700732
0.659967946,0.825379515,0.107484703,0.985856389,0.367883119,0.489726027,0.744506943,0.117300372
0.530197767,0.579717922,0.243339852,0.943149106,0.470072898,0,0.195816488,0.096383733
0.666702312,0.921366495,0.335832068,0.956105765,0.630656838,0.59760274,0.343469854,0.112790236
0.590593278,0.921366495,0.206204574,0.979810562,0.636496253,0.625,0.078484795,0.104409041
0.703153409,0.856832876,0.41633028,0.979663327,0.137226188,0.61130137,0.539813676,0.158877335
0.554676655,0.505965214,0.147964463,0.86608091,0.47445246,0.528253425,0.050536122,0.135144557
0.662319629,0.856290576,0.137700364,0.817705089,0.091970714,0.571917808,0.444629988,0.098160319
0.419241057,0.675162603,0.999999984,1.000000129,0.614598444,0.61130137,0.002197223,0.066154467
0.392196695,0.56507584,0.254295913,0.990521891,0.383941513,0.897260274,0.215064159,0.072445614
0.612399799,0.86117127,0.16284164,0.988092517,0.567883116,0.636986301,0.116804359,0.104730337
0.630251216,0.926789488,0.094452757,0.989325609,0.230656843,0.65239726,0.235454386,0.144702392
0.555424918,0.682212494,0.183831145,0.96243686,0.353284579,0.715753425,0.091228687,0.146826516
0.861464476,0.934381679,0.3864606,0.965307938,0.407299177,0.489726027,0.746440499,0.131758429
0.623409955,0.856290576,0.404682258,0.999355977,0.527007204,0.65239726,0.269027949,0.053629496
0.701443094,0.92570489,-1.61E-08,0.90678212,-8.76E-08,0.489726027,0.584988574,0.096140114
